,제목,내용
1168,"투신한 딸 학생증 안고, 아빠는 ‘그놈들’ 재판 지켜봤다","성추행 피해 폭로 빌미로
중학생 성폭행한 남고생
항소심서도 실형 선고받아 "
1169,"이스라엘, 지상군 투입 ‘확전’…팔레스타인 120여명 숨져","이스라엘 방위군 “공군·지상군 가자지구 공격 중”
지상군의 가자지구 진입은 아직 이뤄지지 않은 듯 "
1170,"주말 비 오고 나면, 봄 돌아온대…낮 최고 16~26도 예상",30도까지 오른 14일보다 5도가량 떨어질 듯 
1171,"짐작은 했지만…공기전파, 코로나 주요 감염경로로 공식 확인","미국 CDC·세계보건기구, 코로나 관련 지침 개정
공기·비말·접촉 세 가지 경로 중 ‘공기전파’ 첫째로 꼽아
“1.8m 이상 떨어져 있어도 공기 중 바이러스 흡입 가능” "
1172,비트코인 때리고 도지코인 띄운 머스크…테슬라 판매위한 술수?,"머스크CEO ""도지코인 거래 효율성 개선""…도지코인 21% 급등
비트코인 결제 중단 '환경문제'…투자자들 '몰랐을리가' 비판
외신 '테슬라 판매 부진이 실제 사유일 것' "
1173,차 빼달라고 하자…중년 여성에 욕설한 벤츠녀 ‘뭇매’ [e글e글],"글쓴이, 벤츠녀와 모친 통화 녹취록 공개
“사과 요청 거부하면 고소할 것” "
1174,국과수 “한강 의대생 익사 추정… 음주 뒤 비교적 짧은 시간에 숨져”,"“머리 상처, 사인 아닌듯” 부검 소견… 전문가 “물에 빠질때 상황 파악해야”
경찰 “孫씨와 친구 함께 있는 모습… 새벽 3시38분까지 본 목격자 있어
소주 4병 막걸리 3병 청주 2병 구입”… “4시20분엔 혼자 잠든 친구 목격” "
1175,"기안84 ""집도 없으면서 결혼? 코인 뿐인 희망"" 또 쓴소리","기안84 웹툰 '복학왕' 통해
현 정부 부동산 정책부터 젠더 갈등까지 풍자 "
1176,"신비복숭아·빅데라 포도·죽향…너무 달콤한 너, 오늘부터 1일","Cover Story

명품 과일과 행복한 만남이 시작된다 "
1177,서울 출퇴근 '꿈의 30분'…4차 철도망 따라 경기·인천이 달린다,"최대 수혜지역으로 꼽히는 시흥
'신구로선'으로 목동까지 15분
하남~송파, 남양주~강동 10분대

아파트 신고가 거래 줄이어
'일신휴먼빌' 4억5천만원 최고가
'시흥 센트럴…' 호가 석달새 5억↑

전문가 ""착공·개통 시기가 변수"" "
1178,"""박근혜 때보다 더 심각""…文에 2030이 유독 뿔난 이유 [신현보의 딥데이터]","[신현보의 딥데이터 66]
文 4년 기획 (2) 지지율 & 고용

20대 男 지지율 낙폭 제일 크지만
정도 차이일뿐, 전 세대서 모두 '추락'
2030세대 男, 女 보다 고용률에 크게 반응

일자리 사업 예산 4년간 60% 급증했지만
청년 취업에 악영향이라는 연구도
고용, 朴 때보다 악화됐는데 국가채무 속도↑

文 4주년 연설서 ""민간 일자리 창출""
코로나 장기화에 기업 일자리 회복 어려워 "
1179,[사사건건] 백신 2차접종까지 해봤더니…“감기몸살 있었지만 진통제 복용 후 일상생활 지장 없어”,"-의료기관 종사자로 3월에 화이자 백신 1·2차 접종 마친 대학병원 간호사
-""1차 접종 때는 거의 무증상, 2차 접종 때는 당일 저녁부터 전신 근육통, 몸살감기 증상""
-""해열진통제 복용, 증상은 이틀 뒤에 사라져...일상생활에 지장 없어""
-""백신 부작용 두려움 생길 수 있지만, 백신 접종으로 인한 예방 이득이 더 커"" "
1180,"머스크,""테슬라車 비트코인 결제 보류""...비트코인 급락",비트코인 가격 4% 급락 
1181,"""운전자가 없어요""...뒷좌석 자율운전 20대 체포","테슬라 오토파일럿 오용
미국 당국, 안전성 정밀조사 "
1182,"짐작은 했지만…공기전파, 코로나 주요 감염경로로 공식 확인","미국 CDC·세계보건기구, 코로나 관련 지침 개정
공기·비말·접촉 세 가지 경로 중 ‘공기전파’ 첫째로 꼽아
“1.8m 이상 떨어져 있어도 공기 중 바이러스 흡입 가능” "
1183,[단독] 열화상 체온 측정기에 찍힌 내 얼굴·음성 새나갔나,일부 중국산 제품서 전송 기능 발견 
1184,"“난 추악한 조선인 아니다” 혐한 맞선 중학생, 일본 법원서 또 승소","도쿄고등법원 “악질적이다” 1300여만원 판결
어머니 재일동포 나카네 “차별 용서할 수 없다” "
1185,‘백설 만두’ 뜯었더니 작업자 이름 적힌 고무장갑 나와,"식약처, CJ제일제당에 시정명령 처분 "
1186,백신으로 ‘당심’ 잡으려다 ‘나라 망신’시킨 황교안,"방미 중 야당 단체장인 서울·부산·제주에만 백신 요구
여당 “얼굴이 화끈거려” 야당서도 “나라 망신 따로 없다” "
1187,[World Now] 백신도 입원도 새치기 '상급 국민'…일본이 '부글부글',예약 취소분이라지만…백신 새치기한 日 촌장들 
1188,"유시민 ""어려운 시기, 이효리 부부 덕분에 살았다""","유시민 ""이효리·이상순, 흔쾌히 모델 참여해줘"" "
1189,"故손정민 부친, '주머니 뒤적' 사진에 ""그들은 왜 인정하지 않나?""","손정민 부친 ""이렇게 많은 의혹이 생길 수 있나?""
유튜버 감스트, 사이먼 도미닉에 감사 인사 "
1190,"손정민군 父 ""친구 가족, 사람 안 찾고 CCTV 확인만"" [종합]","손군 父 ""A씨 父 휴대폰도 포렌식해야""
목격자들 ""손군, 3시 40분쯤 자고 있었다""
경찰, A씨 신변보호 나선다 "
1191,"수척해진 마윈, 반년만에 나타나 웃으며 기념촬영(종합2보)",항저우 알리바바 본사서 열린 연례행사 참석…주가는 하락 
1192,"아내 사망, 코흘리개 두 자녀 확진…증평 가정의 '코로나 비극'","호흡곤란 겪던 30대 엄마 숨진 뒤 확진, 4살·2살배기 자녀 '양성'

단란했던 가정 지켰던 가장은 '재검사'…증평군 생계 지원 검토 "
1193,"""빌 게이츠, 호색한으로 유명…전라 수영장 파티도 즐겨""","게이츠 전기 쓴 작가 폭로 ""컴퓨터만 아는 괴짜 아냐"" "
1194,"한국경제, 삼성 백신 오보 논란에 ""취재원에 재차 확인""",오보 논란에도 “믿을 만한 취재원에 재차 확인했다”… 삼성바이오 “화이자 백신 생산 사실 아냐” 
1195,"삼성바이오 ""백신 생산 사실 아냐""라는데 한경 기사 그대로","한경 1면에 “삼성바이오, 화이자 백신 만든다”… 누리꾼들 “기사 안 내리나” "
1196,정리해고 위기에 놓인 스포츠서울 기자들,"기자들 “정리해고 대주주, 고용보장 약정 지켜라”
14일 주총서 신임 이사 선임 직후 추진할 듯…고용불안 속 퇴사 러시
사측 정리해고 강행하다 2차례 헛발질, 노조에 발각 "
1197,"한국경제 '삼성-화이자 위탁생산' 오보 논란, 출처는 익명 취재원",[민언련 신문방송 모니터] 언론 신뢰도 떨어뜨리고 주식시장 등락 악영향 
1198,"이재명 지지모임에 황석영·노광일, 언론인 출신은?",대선주자 이재명 외곽 지지모임 ‘민주평화광장’ 조정식·이종석 공동대표…언론계 인사도 다수  
1199,"""트럼프 며느리·딸, 경호원과 부적절한 관계 맺었다""","WP 기자, 관련 서적 출간 예정 "
1200,"4살 딸과 횡단보도 건너던 엄마 참변, 운전자 “눈수술 후라…”","신호 없던 삼거리 횡단보도 건너던 중 덮친 차량
50대 남성 운전자,3일전 눈 수술 “앞이 흐릿해 못봤다” "
1201,‘주먹질에 쓰러졌는데 낄낄?’ 분노 유발한 40초 영상,"10일 오전 1시 대구서 발생한 폭행 사건
경찰, 정확한 사실관계 조사 중 "
1202,"""숨 끊어져 가는 모습 중계하듯 보고""…깔리고, 으스러진 '청년 노동자'","위험한 환경서 혼자 작업하다 목숨 잃은 청년 노동자들
'김용균법', '중대재해처벌법' 통과 뒤로도 산재 끊이지 않아
2020년 산재 사망 노동자 수 총 882명
""내 동생은 '악' 소리 못 내고 즉사했을 것"" 유족들 분노
전문가 ""다수 노동자들 여전히 위험 노출돼"" "
1203,오리무중 한강 실종 대학생 친구 휴대전화…부검 결과에 쏠린 눈,"휴대전화 있다면 토요일 수중 수색
하류 방향수색 계획

정민씨 부검 결과 이르면 이번 주 나와 "
1204,"대학생 실종 당시 목격자 추가…""친구 일어났다가 다시 누워""","25일 새벽 1시 50분~2시 50분 손씨 일행 목격
20m 떨어진 거리에서 손씨 일행 사진 찍기도
""잠든 손씨 인근에서 서성이다가 옆에 누워"" "
1205,"대학생 실종 당시 목격자 현장재연…손정민 父 ""이동한건 확실""","경찰, '주요 목격자' 3명 현장으로 불러 실종 당일 재연
손정민씨 부친 ""증언 들어보면 위치 이동한 것은 확실""
생전 카톡 공개…'술 먹자'는 친구 제안에 정민씨 ""당황"" "
1206,하필 정상회담 전날 삼성 부른 美…압박 더 거세지나?,21일 '한미 정상회담' 하루 전 '삼성 호출' 
1207,"[영상]이스라엘 투명무기 '아이언돔' 위력에 ""무시무시""","하마스 로켓포 발사즉시 깨알 요격
24초짜리 동영상에 레딧 '설왕설래' "
1208,"""다신 서울 가는 일 없을 것""…청주는 왜 싱글들 아지트 됐나","[싱글즈]⑥
청주 오창산단에 몰린 싱글세대 "
1209,"화이자 2차 접종 80대女, 2분뒤 의식 잃고 1시간만에 사망","문진선 ""기저질환 없다""…방역당국, 접종과 인과관계 조사 "
1210,[현장] 갠지스 강에 '무더기 시신'…인도는 아비규환,인도 갠지스 강변에 시신 40구…수장된 코로나 사망자 추정 
1211,[Pick] 주택가에 '호랑이' 출몰…몰래 키운 주인은 잡히니 '발뺌',불법적으로 호랑이를 기르고 경찰관을 피해 달아난 혐의 
1212,주부가 벤츠 몰고 햄버거 배달…배달원 모집 17만명 모였다,코로나로 최근 1년간 일반인 배달 '알바' 급증 
1213,"[단독]""부모님 말씀 잘 따르면 나처럼 된다"" 노소영의 후회","노소영 관장, “내 아이들이라도 잘 키우겠다” "
1214,[단독]빌 게이츠 이혼뒤 큰딸이 올린 첫 가족사진…아빠만 빠졌다,"""엄마는 우리의 여왕이자 영웅""
게이츠 가족 분위기 대변할 수도
美 매체 ""세 자녀 모두 엄마 편""
멀린다도 빌 빠진 가족사진 올려 "
1215,"故 손정민 씨 아버지 ""명명백백해질 때까지 파헤칠 것""","현장·빈소 못 떠나는 아버지들 ""사인 명백히 밝혀야""
""의혹 산더미인데…친구는 변호사 대동""
침착했던 아버지 ""이제는 정신적·육체적 한계""
""아껴둔 휴가도 모두 써…진실 밝혀질 때까지"" "
1216,"""손정민씨 사건, 일반 실종 사건과 다르다""","친구 행동, 다른 실종 사건과 달라
정민씨 시신을 수습할 당시 모습 중요 "
1217,"""대통령 각하, 심기 거슬러 죄송합니다"" 전국 100개 대학에 붙은 '반성문'","보수 성향 대학생 단체 '신전대협' 대자보
""화염병 던진 분들 집권…표현의 자유 용인될 줄 알았다"" 비판 "
1218,"사파리 버스 가고, 사파리 트램 온다···에버랜드 45년 만에 사파리 투어 차량 교체","오는 14일부터 운행
사파리 버스는 은퇴 "
1219,빌 게이츠만 빠졌다···부모 이혼 발표 후 장녀 제니퍼가 올린 가족사진,부인 멀린다도 빌 제외된 가족사진 올려 
1220,"[단독]한국, 말로만 ‘반도체 총력전’… 美는 56조, 中은 173조 통큰 투자",[반도체 위기]정부 ‘2800억 지원’ 대부분 민간출자 
1221,"최재형 감사원장 부부, “난 엄마 배에서 안 나왔대” 아이의 말에…",[11일 입양의 날]두 아들 공개 입양한 최재형 감사원장 부부 
1222,"“통합과 포용의 정치, 당신이 그립습니다”",이한동 前총리 빈소 조문 행렬 이어져 
1223,인도 갠지스강 떠내려온 시신 40구…교수 30여 명 숨진 대학도,"인도 갠지스강 “시신 40구 발견”
BBC “코로나19 사망자 추정”
‘화장 비용 치솟아’ 그냥 떠내려보냈을 수도
인도 현지 소식통 “빈민들, 시신 처리 난맥상”
한 대학서 전현직 교수 30 여명 사망…‘괴담’ 같은 보도 잇따라 "
1224,수십명 모여 ‘비키니 영상’ 봤다…‘미스 코리아’ 예선 실화입니까,9일 열린 서울 예선…폐지 약속 2년 만에 수영복 다시 등장 
1225,"정경심 “강사휴게실 PC, 동양대 있었다”…검찰 “아니면 말고 주장 유감”",서울시교육청 “정경심 1심 판결문 제공 요청”…재판부 불허 
1226,초등학생 앞 몸싸움 낯뜨거운 5·18단체,"정부 지원 ‘공법단체’ 설립 놓고
일부 단체 회원 사이 감정 대립
지난 전두환 재판 때 결국 격돌
양쪽 모두 유감표명 “대화할 것” "
1227,주호영 “에베레스트 가려면” 이준석 “팔공산만 5번 올랐으면서”,"전당대회 앞둔 국민의힘 ‘세대 간 설전’
주호영 “원정대장도 못 해봤으면서”
이준석 “수락산 도전도 이해 못해” "
1228,“윤석열 전화? 난 누굴 기다리지 않아…도움 요청은 그의 몫”,"이세영 논설위원의 직격 인터뷰 ｜ 김종인 전 국민의힘 비대위원장

정권교체 가능성 70%…‘양극화 문제’ 다른 접근 필요
국민의힘 ‘과거 회귀’ 전당대회 되면 ‘1년 노력’ 허사
과거 정치와 인연 없는 사람을 대표로 뽑는 게 현명

민주당 선거 패인, 부동산 폭등 자체보다는 조세 저항
이재명 ‘변신’ 잘 하지만 ‘시대정신’ 읽는지는 지켜봐야
야권이 정권 잡으면 정계 개편되고 개헌 얘기 나올 것 "
1229,이탈리아서 간호사 실수로 23세 여성에 화이자 백신 6회분 주입(종합),부작용 우려에 접종 직후 24시간 입원 관찰…현재 건강 상태 양호 
1230,"""빌 게이츠, 호색한으로 유명…전라 수영장 파티도 즐겨""","게이츠 전기 쓴 작가 폭로 ""컴퓨터만 아는 괴짜 아냐"" "
1231,끝없는 인도 코로나 비극…18일간 한 대학서 교수 34명 사망,"서부선 코로나 희생자 장례식 참석자 21명 숨져
남부 병원선 또 산소 부족…환자 11명 사망 "
1232,백신접종률 세계 1위 세이셸서 코로나 확진 한주새 배로,"중국 시노팜·인도산 AZ 백신 접종중
치료중인 확진자 37%가 백신 2차례 접종 마친 시민 "
